LUID	Date	Hour	Instances
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	16	60
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	17	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	18	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	19	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	20	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	21	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	22	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-20	23	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	0	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	1	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	2	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	3	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	4	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	5	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	6	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	7	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	8	118
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	9	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	10	116
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	11	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	12	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	13	110
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	14	116
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	15	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	16	119
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	17	120
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	18	117
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	19	116
009c2d615c51e454f76e45a99b1be58150a828933a98d87498590657b299077b	2018-02-21	20	109
